"name","type","class","exported","S4generic","args","package","priority","Rversion","status","hidden"
"[[","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[[.data.frame","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[[<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"[[<-.data.frame","special","","TRUE","NA","","base","NA","0.61.1","released",F
"^","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"abbreviate","closure","","TRUE","FALSE","(names.arg, minlength = 4, use.classes = T, dot = F) ","base","NA","0.61.1","released",F
"abline","closure","","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL,         coef = NULL, col = par(""col""), lty = par(""lty""), ...) ","base","NA","0.61.1","released",F
"abs","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"acos","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"acosh","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"all","closure","","TRUE","FALSE","(..., na.rm = FALSE) ","base","NA","0.61.1","released",F
"all.names","closure","","TRUE","FALSE","(expr, functions = TRUE, max.names = 200, unique = FALSE) ","base","NA","0.61.1","released",F
"all.vars","closure","","TRUE","FALSE","(expr, functions = FALSE, max.names = 200, unique = TRUE) ","base","NA","0.61.1","released",F
"anova","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"anova.glm","closure","","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit) ","base","NA","0.61.1","released",F
"anova.glm.null","closure","","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit) ","base","NA","0.61.1","released",F
"anova.glmlist","closure","","TRUE","FALSE","(object, na.action = na.omit, test = NULL) ","base","NA","0.61.1","released",F
"anova.lm","closure","","TRUE","FALSE","(object, ...) ","base","NA","0.61.1","released",F
"anova.lm.null","closure","","TRUE","FALSE","(object, ...) ","base","NA","0.61.1","released",F
"anovalist.lm","closure","","TRUE","FALSE","(object, ..., test = NULL) ","base","NA","0.61.1","released",F
"any","closure","","TRUE","FALSE","(..., na.rm = FALSE) ","base","NA","0.61.1","released",F
"any.data.frame","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"aperm","closure","","TRUE","FALSE","(a, perm, resize = TRUE) ","base","NA","0.61.1","released",F
"append","closure","","TRUE","FALSE","(x, values, after = length(x)) ","base","NA","0.61.1","released",F
"apply","closure","","TRUE","FALSE","(X, MARGIN, FUN, ...) ","base","NA","0.61.1","released",F
"approx","closure","","TRUE","FALSE","(x, y = NULL, xout, method = ""linear"", n = 50, yleft,         yright, rule = 1, f = 0) ","base","NA","0.61.1","released",F
"approxfun","closure","","TRUE","FALSE","(x, y = NULL, method = ""linear"", yleft, yright, rule = 1,         f = 0) ","base","NA","0.61.1","released",F
"apropos","closure","","TRUE","FALSE","(pattern, where = FALSE) ","base","NA","0.61.1","released",F
"args","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"array","closure","","TRUE","FALSE","(data = NA, dim = length(data), dimnames = NULL) ","base","NA","0.61.1","released",F
"arrows","closure","","TRUE","FALSE","(x0, y0, x1, y1, length = 0.25, angle = 30, code = 2,         col = par(""fg""), lty = NULL, xpd = FALSE) ","base","NA","0.61.1","released",F
"as.array","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.call","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"as.char.or.expr","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.character","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.complex","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.data.frame","closure","","TRUE","FALSE","(x, row.names = NULL, optional = F, ...) ","base","NA","0.61.1","released",F
"as.data.frame.default","closure","","TRUE","FALSE","(x, row.names = NULL, optional = F, ...) ","base","NA","0.61.1","released",F
"as.double","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.expression","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.factor","closure","","TRUE","FALSE","(x, ordered = FALSE) ","base","NA","0.61.1","released",F
"as.formula","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"as.function","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.integer","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.list","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.logical","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.matrix","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.matrix.data.frame","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.matrix.default","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.name","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.null","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.numeric","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.ordered","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.qr","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.real","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.single","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.ts","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"as.vector","closure","","TRUE","FALSE","(x, mode = ""any"") ","base","NA","0.61.1","released",F
"asin","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"asinh","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"assign","closure","","TRUE","FALSE","(x, value, pos = -1, envir = pos.to.env(pos), inherits = FALSE,         immediate = TRUE) ","base","NA","0.61.1","released",F
"atan","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"atan2","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"atanh","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"attach","closure","","TRUE","FALSE","(what, pos = 2, name = deparse(substitute(what))) ","base","NA","0.61.1","released",F
"attr","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"attr<-","special","","TRUE","NA","","base","NA","0.61.1","released",F
"attributes","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"attributes<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"autoload","closure","","TRUE","FALSE","(name, file) ","base","NA","0.61.1","released",F
"autoloader","closure","","TRUE","FALSE","(name, file) ","base","NA","0.61.1","released",F
"ave","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"axis","closure","","TRUE","FALSE","(which, at, labels = TRUE, ...) ","base","NA","0.61.1","released",F
"backsolve","closure","","TRUE","FALSE","(r, x, k = ncol(r)) ","base","NA","0.61.1","released",F
"barplot","closure","","TRUE","FALSE","(height, width = 1, space = NULL, names.arg = NULL,         legend.text = NULL, beside = FALSE, horiz = FALSE, col = heat.colors(NR),         border = par(""fg""), main = NULL, xlab = NULL, ylab = NULL,         xlim = NULL, ylim = NULL, axes = TRUE, ...) ","base","NA","0.61.1","released",F
"beta","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"binomial","closure","","TRUE","FALSE","(link = ""logit"") ","base","NA","0.61.1","released",F
"body","closure","","TRUE","FALSE","(fun = sys.function(sys.parent())) ","base","NA","0.61.1","released",F
"box","closure","","TRUE","FALSE","(which = ""plot"", lty = ""solid"", ...) ","base","NA","0.61.1","released",F
"boxplot","closure","","TRUE","FALSE","(x, ..., range = 1.5, width = NULL, varwidth = FALSE,         notch = FALSE, names, data = sys.frame(sys.parent()),         plot = TRUE, border = par(""fg""), col = NULL, log = """",         pars = NULL) ","base","NA","0.61.1","released",F
"boxplot.stats","closure","","TRUE","FALSE","(x, coef = 1.5) ","base","NA","0.61.1","released",F
"break","special","","TRUE","NA","","base","NA","0.61.1","released",F
"browser","special","","TRUE","NA","","base","NA","0.61.1","released",F
"builtins","closure","","TRUE","FALSE","(internal = FALSE) ","base","NA","0.61.1","released",F
"bw.bcv","closure","","TRUE","FALSE","(x, samples = 100) ","base","NA","0.61.1","released",F
"bw.sj","closure","","TRUE","FALSE","(x, samples = 100) ","base","NA","0.61.1","released",F
"bw.ucv","closure","","TRUE","FALSE","(x, samples = 100) ","base","NA","0.61.1","released",F
"bxp","closure","","TRUE","FALSE","(z, notch = FALSE, width = NULL, varwidth = FALSE, border = par(""fg""),         col = NULL, log = """", pars = NULL, ...) ","base","NA","0.61.1","released",F
"c","special","","TRUE","NA","","base","NA","0.61.1","released",F
"call","special","","TRUE","NA","","base","NA","0.61.1","released",F
"case.names","closure","","TRUE","FALSE","(obj, ...) ","base","NA","0.61.1","released",F
"case.names.lm","closure","","TRUE","FALSE","(lm.obj, full = FALSE) ","base","NA","0.61.1","released",F
"cat","closure","","TRUE","FALSE","(..., file = """", sep = "" "", fill = FALSE, labels = NULL,         append = FALSE) ","base","NA","0.61.1","released",F
"cbind","closure","","TRUE","FALSE","(...) ","base","NA","0.61.1","released",F
"ceiling","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"char.expand","closure","","TRUE","FALSE","(input, target, nomatch = stop(""no match"")) ","base","NA","0.61.1","released",F
"character","closure","","TRUE","FALSE","(n = 0) ","base","NA","0.61.1","released",F
"charmatch","closure","","TRUE","FALSE","(x, table, nomatch = NA) ","base","NA","0.61.1","released",F
"check.bounds","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"chisq.test","closure","","TRUE","FALSE","(x, y = NULL, correct = TRUE, p = rep(1/length(x), length(x))) ","base","NA","0.61.1","released",F
"chol","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"chol2inv","closure","","TRUE","FALSE","(x, size = ncol(x)) ","base","NA","0.61.1","released",F
"choose","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"class","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"class<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"cm","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"co.intervals","closure","","TRUE","FALSE","(x, number = 6, overlap = 0.5) ","base","NA","0.61.1","released",F
"codes","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"codes<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"coef","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"coefficients","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"coefficients.default","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"coefficients.glm","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"coefficients.lm","closure","","TRUE","FALSE","(z) ","base","NA","0.61.1","released",F
"col","closure","","TRUE","FALSE","(x, as.factor = FALSE) ","base","NA","0.61.1","released",F
"colnames","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"colnames<-","closure","","TRUE","FALSE","(x, value) ","base","NA","0.61.1","released",F
"colors","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"colours","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"comment","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"comment<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"complete.cases","closure","","TRUE","FALSE","(...) ","base","NA","0.61.1","released",F
"complex","closure","","TRUE","FALSE","(n = 0, real = numeric(), imaginary = numeric()) ","base","NA","0.61.1","released",F
"contour","closure","","TRUE","FALSE","(x = seq(0, 1, len = nrow(z)), y = seq(0, 1, len = ncol(z)),         z, nlevels = 10, levels = pretty(range(z, na.rm = TRUE),                 nlevels), labcex = 0, xlim = range(x, na.rm = TRUE),         ylim = range(y, na.rm = TRUE), col = par(""fg""), lty = par(""lty""),         add = FALSE) ","base","NA","0.61.1","released",F
"contr.helmert","closure","","TRUE","FALSE","(n, contrasts = TRUE) ","base","NA","0.61.1","released",F
"contr.poly","closure","","TRUE","FALSE","(n, contrasts = TRUE) ","base","NA","0.61.1","released",F
"contr.sum","closure","","TRUE","FALSE","(n, contrasts = TRUE) ","base","NA","0.61.1","released",F
"contr.treatment","closure","","TRUE","FALSE","(n, contrasts = TRUE) ","base","NA","0.61.1","released",F
"contrasts","closure","","TRUE","FALSE","(x, contrasts = TRUE) ","base","NA","0.61.1","released",F
"contrasts<-","closure","","TRUE","FALSE","(x, ctr) ","base","NA","0.61.1","released",F
"convolve","closure","","TRUE","FALSE","(x, y, conj = T) ","base","NA","0.61.1","released",F
"cooks.distance","closure","","TRUE","FALSE","(lm.obj) ","base","NA","0.61.1","released",F
"coplot","closure","","TRUE","FALSE","(formula, data, given.values, panel = points, rows,         columns, show.given = TRUE, col = par(""fg""), pch = par(""pch""),         ...) ","base","NA","0.61.1","released",F
"cor","closure","","TRUE","FALSE","(x, y = NULL, use = ""all.obs"") ","base","NA","0.61.1","released",F
"cos","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"cosh","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"count.fields","closure","","TRUE","FALSE","(file, sep = """", skip = 0) ","base","NA","0.61.1","released",F
"cov","closure","","TRUE","FALSE","(x, y = NULL, use = ""all.obs"") ","base","NA","0.61.1","released",F
"covratio","closure","","TRUE","FALSE","(lm.obj) ","base","NA","0.61.1","released",F
"crossprod","closure","","TRUE","FALSE","(x, y = x) ","base","NA","0.61.1","released",F
"cummax","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"cummin","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"cumprod","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"cumsum","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"curve","closure","","TRUE","FALSE","(expr, from, to, n = 100, add = FALSE, type = ""l"", ...) ","base","NA","0.61.1","released",F
"cut","closure","","TRUE","FALSE","(x, breaks, labels = NULL, right = TRUE, dig.lab = 3) ","base","NA","0.61.1","released",F
"data","closure","","TRUE","FALSE","(..., list = character(0), package = .packages(), lib.loc = .lib.loc) ","base","NA","0.61.1","released",F
"data.class","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"data.entry","closure","","TRUE","FALSE","(..., Modes = NULL, Names = NULL) ","base","NA","0.61.1","released",F
"data.frame","closure","","TRUE","FALSE","(..., row.names = NULL, col.names = NULL, as.is = FALSE) ","base","NA","0.61.1","released",F
"data.matrix","closure","","TRUE","FALSE","(frame) ","base","NA","0.61.1","released",F
"dataentry","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dbeta","closure","","TRUE","FALSE","(x, a, b) ","base","NA","0.61.1","released",F
"dbinom","closure","","TRUE","FALSE","(x, n, p) ","base","NA","0.61.1","released",F
"dcauchy","closure","","TRUE","FALSE","(x, location = 0, scale = 1) ","base","NA","0.61.1","released",F
"dchisq","closure","","TRUE","FALSE","(x, df) ","base","NA","0.61.1","released",F
"de","closure","","TRUE","FALSE","(..., Modes = NULL, Names = NULL) ","base","NA","0.61.1","released",F
"de.ncols","closure","","TRUE","FALSE","(inlist) ","base","NA","0.61.1","released",F
"de.restore","closure","","TRUE","FALSE","(inlist, ncols, coltypes, argnames, args) ","base","NA","0.61.1","released",F
"de.setup","closure","","TRUE","FALSE","(ilist, list.names, incols) ","base","NA","0.61.1","released",F
"debug","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"delay","closure","","TRUE","FALSE","(x, env = .GlobalEnv) ","base","NA","0.61.1","released",F
"delete.response","closure","","TRUE","FALSE","(termobj) ","base","NA","0.61.1","released",F
"demo","closure","","TRUE","FALSE","(topic, device = x11, directory.sep = ""/"") ","base","NA","0.61.1","released",F
"density","closure","","TRUE","FALSE","(x, bw, adjust = 1, kernel = ""gaussian"", n = 512, width,         from, to, cut = 3, plot.graph = FALSE) ","base","NA","0.61.1","released",F
"deparse","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"deriv","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"deriv.default","closure","","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = "".expr"") ","base","NA","0.61.1","released",F
"deriv.formula","closure","","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = "".expr"") ","base","NA","0.61.1","released",F
"detach","closure","","TRUE","FALSE","(name, pos = 2) ","base","NA","0.61.1","released",F
"dev.off","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"deviance","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"deviance.glm","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"deviance.lm","closure","","TRUE","FALSE","(z) ","base","NA","0.61.1","released",F
"dexp","closure","","TRUE","FALSE","(x, rate = 1) ","base","NA","0.61.1","released",F
"df","closure","","TRUE","FALSE","(x, n1, n2) ","base","NA","0.61.1","released",F
"df.residual","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"df.residual.lm","closure","","TRUE","FALSE","(z) ","base","NA","0.61.1","released",F
"dfbetas","closure","","TRUE","FALSE","(lm.obj) ","base","NA","0.61.1","released",F
"dffits","closure","","TRUE","FALSE","(lm.obj) ","base","NA","0.61.1","released",F
"dgamma","closure","","TRUE","FALSE","(x, shape, scale = 1) ","base","NA","0.61.1","released",F
"dgeom","closure","","TRUE","FALSE","(x, p) ","base","NA","0.61.1","released",F
"dget","closure","","TRUE","FALSE","(file) ","base","NA","0.61.1","released",F
"dhyper","closure","","TRUE","FALSE","(x, N1, N2, n) ","base","NA","0.61.1","released",F
"diag","closure","","TRUE","FALSE","(x = 1, nrow, ncol = n) ","base","NA","0.61.1","released",F
"diag<-","closure","","TRUE","FALSE","(x, value) ","base","NA","0.61.1","released",F
"diff","closure","","TRUE","FALSE","(x, lag = 1, differences = 1) ","base","NA","0.61.1","released",F
"digamma","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dim","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dim<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dimnames","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dimnames<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dlnorm","closure","","TRUE","FALSE","(x, meanlog = 0, sdlog = 1) ","base","NA","0.61.1","released",F
"dlogis","closure","","TRUE","FALSE","(x, location = 0, scale = 1) ","base","NA","0.61.1","released",F
"dnbinom","closure","","TRUE","FALSE","(x, n, p) ","base","NA","0.61.1","released",F
"dnchisq","closure","","TRUE","FALSE","(x, df, lambda) ","base","NA","0.61.1","released",F
"dnorm","closure","","TRUE","FALSE","(x, mean = 0, sd = 1) ","base","NA","0.61.1","released",F
"do.call","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dotplot","closure","","TRUE","FALSE","(x, labels = NULL, groups = NULL, gdata = NULL, cex = par(""cex""),         pch = 21, gpch = 21, bg = par(""bg""), color = par(""fg""),         gcolor = par(""fg""), lcolor = ""gray"", ...) ","base","NA","0.61.1","released",F
"double","closure","","TRUE","FALSE","(n = 0) ","base","NA","0.61.1","released",F
"dpois","closure","","TRUE","FALSE","(x, lambda) ","base","NA","0.61.1","released",F
"dput","closure","","TRUE","FALSE","(x, file = """") ","base","NA","0.61.1","released",F
"drop","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"drop.terms","closure","","TRUE","FALSE","(termobj, dropx = NULL, keep.response = FALSE) ","base","NA","0.61.1","released",F
"dt","closure","","TRUE","FALSE","(x, df) ","base","NA","0.61.1","released",F
"dump","closure","","TRUE","FALSE","(list, fileout = ""dumpdata"") ","base","NA","0.61.1","released",F
"dunif","closure","","TRUE","FALSE","(x, min = 0, max = 1) ","base","NA","0.61.1","released",F
"duplicated","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"dweibull","closure","","TRUE","FALSE","(x, shape, scale = 1) ","base","NA","0.61.1","released",F
"dyn.load","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"edit","closure","","TRUE","FALSE","(name = NULL, file = """", editor = options()$editor) ","base","NA","0.61.1","released",F
"effects","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"effects.glm","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"effects.lm","closure","","TRUE","FALSE","(z, term) ","base","NA","0.61.1","released",F
"eigen","closure","","TRUE","FALSE","(x, symmetric, only.values = FALSE) ","base","NA","0.61.1","released",F
"emacs","closure","","TRUE","FALSE","(name = NULL, file = """") ","base","NA","0.61.1","released",F
"end","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"end.default","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"end.ts","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"environment","closure","","TRUE","FALSE","(fun = NULL) ","base","NA","0.61.1","released",F
"environment<-","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"eval","closure","","TRUE","FALSE","(expr, envir = sys.frame(sys.parent())) ","base","NA","0.61.1","released",F
"exists","closure","","TRUE","FALSE","(x, where = -1, envir = pos.to.env(where), frame, mode = ""any"",         inherits = TRUE) ","base","NA","0.61.1","released",F
"exp","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"expression","special","","TRUE","NA","","base","NA","0.61.1","released",F
"factor","closure","","TRUE","FALSE","(x, levels = sort(unique(x), na.last = TRUE), labels,         exclude = NA, ordered = FALSE) ","base","NA","0.61.1","released",F
"family","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"family.glm","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"family.lm","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"fft","closure","","TRUE","FALSE","(z, inverse = FALSE) ","base","NA","0.61.1","released",F
"fitted","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"fitted.values","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"fitted.values.glm","closure","","TRUE","FALSE","(object) ","base","NA","0.61.1","released",F
"fitted.values.lm","closure","","TRUE","FALSE","(z) ","base","NA","0.61.1","released",F
"fivenum","closure","","TRUE","FALSE","(x, na.rm = TRUE) ","base","NA","0.61.1","released",F
"fix","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
"floor","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"for","special","","TRUE","NA","","base","NA","0.61.1","released",F
"formals","closure","","TRUE","FALSE","(fun = sys.function(sys.parent())) ","base","NA","0.61.1","released",F
"format","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"format.default","closure","","TRUE","FALSE","(x, trim = FALSE, digits = .Options$digits) ","base","NA","0.61.1","released",F
"format.info","builtin","","TRUE","NA","","base","NA","0.61.1","released",F
"formatC","closure","","TRUE","FALSE","(x, digits = NULL, width = max(0, digits) + 1, format = NULL,         flag = """", mode = NULL) ","base","NA","0.61.1","released",F
"formula","closure","","TRUE","FALSE","(x, ...) ","base","NA","0.61.1","released",F
"formula.default","closure","","TRUE","FALSE","(x) ","base","NA","0.61.1","released",F
